Price,House Type,Area in sq ft,No. of Bedrooms,Location,City/County,Postal Code,Outcode,log_price,price_band
1675000,House,2716,5,wimbledon,london,SW19 8NY,SW19,14.331323723241304,6
650000,Flat / Apartment,814,2,clerkenwell,london,EC1V 3PA,EC1V,13.38472764187182,1
735000,Flat / Apartment,761,2,putney,london,SW15 1QL,SW15,13.507625778194974,2
1765000,House,1986,4,putney,london,SW15 1LP,SW15,14.383661248349535,6
675000,Flat / Apartment,700,2,putney,london,SW15 1PL,SW15,13.422467969854667,1
420000,Flat / Apartment,403,1,,london,W2 3EA,W2,12.948009990259552,0
1475000,House,1548,4,,london,SW11 6NW,SW11,14.204168547756057,5
650000,New development,560,1,fulham,london,SW6 3LF,SW6,13.38472764187182,1
2500000,House,1308,3,,london,W8 6UG,W8,14.73180128983843,8
925000,Flat / Apartment,646,2,,london,W8 4NT,W8,13.737549016494562,3
2400000,House,3392,6,,london,SW17 8RR,SW17,14.690979295318174,7
2500000,House,2974,6,highgate,london,N6 5HQ,N6,14.73180128983843,8
2795000,House,5294,5,walton-on-thames,surrey,KT12 1ER,KT12,14.843342664571336,8
725000,Flat / Apartment,778,2,st johns wood,london,NW8 9HP,NW8,13.493926933836812,2
750000,Flat / Apartment,647,2,abercorn place,london,NW8 9DY,NW8,13.527828485512494,2
12500000,House,4596,6,regents park,london,NW1 4ND,NW1,16.34123920227253,9
1450000,Flat / Apartment,1702,3,twickenham,middlesex,TW1 2PF,TW1,14.187074114396758,5
1250000,House,3503,6,coulsdon,surrey,CR5 3QW,CR5,14.038654109278484,5
2275000,New development,1173,3,primrose hill,london,NW3 3DS,NW3,14.637490610367188,7
1075000,Duplex,865,2,holland park,london,W11 4SR,W11,13.8878312195439,4
500000,Flat / Apartment,597,1,,london,SW9 9BT,SW9,13.122363377404328,0
5500000,House,3016,4,marylebone,london,W1G 7BA,W1G,15.520258650202699,9
8950000,New development,3154,4,draycott avenue,london,SW3 3AA,SW3,16.007164090251038,9
1175000,Flat / Apartment,765,2,,london,W8 7AX,W8,13.976778705560397,4
550000,Flat / Apartment,479,1,islington,london,N1 1PT,N1,13.217673557208654,0
1300000,House,1101,3,islington,london,N1 2NT,N1,14.077874822431765,5
800000,Flat / Apartment,1177,3,south hampstead,london,NW6 3HR,NW6,13.592367006650065,2
3500000,House,2331,4,belsize park,london,NW3 2UP,NW3,15.068273526459642,8
374950,New development,664,2,esher,surrey,KT10 9FN,KT10,12.834547962729536,0
400000,Flat / Apartment,805,2,surbiton,surrey,KT6 6NW,KT6,12.89921982609012,0
1100000,Flat / Apartment,582,2,wetherby gardens,london,SW5 0JP,SW5,13.9108207377686,4
1200000,House,1494,4,,london,SW12 8LJ,SW12,13.997832114758229,4
1250000,House,1507,4,,london,SW2 4XF,SW2,14.038654109278484,5
695000,Flat / Apartment,945,3,,london,SW2 4XQ,SW2,13.45166712454693,2
1735000,House,2118,4,chiswick,london,W4 3BS,W4,14.366517971363097,6
2350000,House,2297,5,chiswick,london,W4 4NR,W4,14.669925886120343,7
1200000,House,1351,4,chiswick,london,W4 2BA,W4,13.997832114758229,4
975000,Flat / Apartment,749,2,,london,SW10 0JB,SW10,13.790192749979985,3
850000,House,1177,3,barnes,london,SW13 0NL,SW13,13.652991628466498,3
1599950,House,1884,4,fulham,london,SW6 5RF,SW6,14.285482936721719,6
925000,Flat / Apartment,1321,2,,london,SW11 2PZ,SW11,13.737549016494562,3
650000,Flat / Apartment,869,3,battersea,london,SW11 3DU,SW11,13.38472764187182,1
550000,Flat / Apartment,670,1,,london,SW11 4BG,SW11,13.217673557208654,0
9975000,House,10100,10,battersea,london,SW11 3LD,SW11,16.1155925207402,9
1850000,House,1910,5,,london,SW11 4PT,SW11,14.430696197054507,6
525000,New development,590,1,,london,SW11 3AU,SW11,13.17115354157376,0
2200000,House,2239,4,,london,SW4 6HS,SW4,14.603967918328545,7
3450000,House,5599,6,walton-on-thames,surrey,KT12 1EU,KT12,15.053884789007542,8
1999999,Flat / Apartment,1608,3,victoria,london,SW1P 1EZ,SW1P,14.508657238524094,7
725000,House,884,3,south hackney,london,E9 7LF,E9,13.493926933836812,2
1750000,Flat / Apartment,1232,2,grove end road,london,NW8 9LD,NW8,14.375126345899696,6
5250000,Flat / Apartment,2299,3,,london,SW1W 9DF,SW1W,15.473738634567807,9
1250000,New development,1307,3,crouch end,london,N8 9JJ,N8,14.038654109278484,5
490000,New development,570,1,clapton,london,E5 8DS,E5,13.102160670086809,0
3350000,Penthouse,2185,3,coleridge gardens,london,SW10 0RP,SW10,15.02447090380125,8
1000000,Flat / Apartment,1228,3,battersea,london,SW11 4SS,SW11,13.815510557964274,4
2350000,House,2511,4,barnes,london,SW13 0DX,SW13,14.669925886120343,7
2095000,Flat / Apartment,1528,3,chelsea harbour,london,SW10 0UY,SW10,14.555064111338375,7
1250000,Flat / Apartment,811,2,bayswater,london,W2 4WA,W2,14.038654109278484,5
735000,Flat / Apartment,969,2,,london,SW11 2RE,SW11,13.507625778194974,2
875000,House,1132,4,tooting,london,SW17 8LW,SW17,13.681979165339751,3
1250000,House,2498,6,,london,SW16 1RD,SW16,14.038654109278484,5
595000,Flat / Apartment,643,2,,london,W12 8BG,W12,13.296316684527767,1
1675000,House,5022,3,watford,hertfordshire,WD19 4PL,WD19,14.331323723241304,6
